FECHA (YYMMDD);HORA (HHMM);Registros validados;
040130;0900;1,73753;
040130;1000;1,25645;
040130;1100;1,92101;
040130;1200;3,13625;
040130;1300;2,99297;
040130;1400;3,15749;
040130;1500;3,39335;
040130;1600;3,70878;
040130;1700;3,98008;
040130;1800;3,66106;
040130;1900;3,00661;
040130;2000;2,9603;
040130;2100;2,0503;
040130;2200;1,60715;
040130;2300;1,03621;
040131;0000;0,944963;
040131;0100;0,842867;
040131;0200;1,26202;
040131;0300;0,768826;
040131;0400;0,806304;
040131;0500;0,610743;
040131;0600;0,723989;
040131;0700;0,770267;
040131;0800;1,15746;
040131;0900;1,21842;
040131;1000;1,73931;
040131;1100;1,53258;
040131;1200;2,46343;
040131;1300;2,78942;
040131;1400;2,96853;
040131;1500;3,53588;
040131;1600;3,158;
040131;1700;3,4031;
040131;1800;3,09272;
040131;1900;2,34919;
040131;2000;2,12641;
040131;2100;2,02226;
040131;2200;1,25482;
040131;2300;0,879098;
040201;0000;0,545074;
040201;0100;0,311226;
040201;0200;0,711114;
040201;0300;0,782517;
040201;0400;0,674565;
040201;0500;0,35492;
040201;0600;0,223337;
040201;0700;0,608431;
040201;0800;0,931417;
040201;0900;1,08977;
040201;1000;1,40814;
040201;1100;2,46614;
040201;1200;2,46999;
040201;1300;3,0341;
040201;1400;3,16839;
040201;1500;3,49199;
040201;1600;3,70883;
040201;1700;3,69019;
040201;1800;3,70693;
040201;1900;3,17089;
040201;2000;2,23616;
040201;2100;2,02064;
040201;2200;1,22243;
040201;2300;0,923751;
040202;0000;0,624083;
040202;0100;0,911472;
040202;0200;1,07792;
040202;0300;0,869669;
040202;0400;0,968225;
040202;0500;1,13505;
040202;0600;0,824898;
040202;0700;1,44271;
040202;0800;1,45987;
040202;0900;1,75296;
040202;1000;1,23584;
040202;1100;1,82613;
040202;1200;2,04611;
040202;1300;2,45447;
040202;1400;3,44186;
040202;1500;3,7519;
040202;1600;3,6645;
040202;1700;3,38174;
040202;1800;3,00327;
040202;1900;2,38836;
040202;2000;1,99727;
040202;2100;1,44881;
040202;2200;1,27411;
040202;2300;0,865627;
040203;0000;0,26811;
040203;0100;0,915364;
040203;0200;0,533617;
040203;0300;0,355566;
040203;0400;0,755765;
040203;0500;0,445093;
040203;0600;0,323263;
040203;0700;0,349172;
040203;0800;0,459511;
040203;0900;0,88203;
040203;1000;1,33053;
040203;1100;2,18901;
040203;1200;2,67496;
040203;1300;3,13732;
040203;1400;3,53019;
040203;1500;3,44611;
040203;1600;3,68905;
040203;1700;3,5536;
040203;1800;3,02792;
040203;1900;2,37439;
040203;2000;2,26008;
040203;2100;1,83269;
040203;2200;1,34869;
040203;2300;0,753049;
040204;0000;0,54833;
040204;0100;0,558942;
040204;0200;0,796632;
040204;0300;0,406476;
040204;0400;0,537449;
040204;0500;0,405969;
040204;0600;0,335681;
040204;0700;0,445911;
040204;0800;1,31314;
040204;0900;1,55806;
040204;1000;0,970733;
040204;1100;1,33045;
040204;1200;2,55344;
040204;1300;3,20759;
040204;1400;3,14547;
040204;1500;2,70427;
040204;1600;2,67553;
040204;1700;3,02279;
040204;1800;;
040204;1900;;
040204;2000;;
040204;2100;;
040204;2200;;
040204;2300;;
040205;0000;;
040205;0100;;
040205;0200;;
040205;0300;;
040205;0400;;
040205;0500;;
040205;0600;;
040205;0700;;
040205;0800;;
040205;0900;;
040205;1000;1,09969;
040205;1100;1,81819;
040205;1200;2,9337;
040205;1300;3,03488;
040205;1400;3,25923;
040205;1500;3,69736;
040205;1600;3,38546;
040205;1700;3,13469;
040205;1800;2,88067;
040205;1900;1,77987;
040205;2000;1,4137;
040205;2100;1,20942;
040205;2200;0,669438;
040205;2300;0,858438;
