FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040218;0200;8;;;
040218;0300;2;;;
040218;0400;2;;;
040218;0500;2;;;
040218;0600;2;;;
040218;0700;3;;;
040218;0800;5;;;
040218;0900;12;;;
040218;1000;32;;;
040218;1100;51;;;
040218;1200;72;;;
040218;1300;68;;;
040218;1400;68;;;
040218;1500;63;;;
040218;1600;49;;;
040218;1700;38;;;
040218;1800;26;;;
040218;1900;19;;;
040218;2000;7;;;
040218;2100;2;;;
040218;2200;2;;;
040218;2300;3;;;
040219;0000;2;;;
040219;0100;2;;;
040219;0200;2;;;
040219;0300;2;;;
040219;0400;2;;;
040219;0500;2;;;
040219;0600;2;;;
040219;0700;3;;;
040219;0800;9;;;
040219;0900;21;;;
040219;1000;31;;;
040219;1100;59;;;
040219;1200;74;;;
040219;1300;86;;;
040219;1400;68;;;
040219;1500;52;;;
040219;1600;50;;;
040219;1700;49;;;
040219;1800;47;;;
040219;1900;37;;;
040219;2000;29;;;
040219;2100;28;;;
040219;2200;16;;;
040219;2300;13;;;
040220;0000;15;;;
040220;0100;14;;;
040220;0200;10;;;
040220;0300;3;;;
040220;0400;2;;;
040220;0500;2;;;
040220;0600;2;;;
040220;0700;2;;;
040220;0800;6;;;
040220;0900;14;;;
040220;1000;23;;;
040220;1100;32;;;
040220;1200;44;;;
040220;1300;48;;;
040220;1400;44;;;
040220;1500;46;;;
040220;1600;44;;;
040220;1700;41;;;
040220;1800;35;;;
040220;1900;28;;;
040220;2000;18;;;
040220;2100;16;;;
040220;2200;20;;;
040220;2300;16;;;
040221;0000;17;;;
040221;0100;20;;;
040221;0200;16;;;
040221;0300;8;;;
040221;0400;5;;;
040221;0500;4;;;
040221;0600;2;;;
040221;0700;4;;;
040221;0800;10;;;
040221;0900;21;;;
040221;1000;35;;;
040221;1100;45;;;
040221;1200;41;;;
040221;1300;42;;;
040221;1400;48;;;
040221;1500;49;;;
040221;1600;51;;;
040221;1700;43;;;
040221;1800;32;;;
040221;1900;23;;;
040221;2000;18;;;
040221;2100;12;;;
040221;2200;8;;;
040221;2300;3;;;
040222;0000;5;;;
040222;0100;11;;;
040222;0200;7;;;
040222;0300;5;;;
040222;0400;4;;;
040222;0500;7;;;
040222;0600;6;;;
