FECHA (YYMMDD);HORA (HHMM);Registros validados;
040211;1700;57,1666;
040211;1800;60,5;
040211;1900;65,1664;
040211;2000;70;
040211;2100;74,3333;
040211;2200;76;
040211;2300;78,1664;
040212;0000;79,9164;
040212;0100;84,4164;
040212;0200;85,8333;
040212;0300;87,0907;
040212;0400;88,75;
040212;0500;88,25;
040212;0600;89,0833;
040212;0700;75,1664;
040212;0800;69;
040212;0900;62,5833;
040212;1000;54,1666;
040212;1100;44,6666;
040212;1200;40,3333;
040212;1300;36,5833;
040212;1400;35,9166;
040212;1500;36,9166;
040212;1600;34,25;
040212;1700;34,1667;
040212;1800;37,0833;
040212;1900;48,25;
040212;2000;58,4166;
040212;2100;60,5;
040212;2200;61,5;
040212;2300;63,8333;
040213;0000;66,3333;
040213;0100;68,4164;
040213;0200;72,5;
040213;0300;75,9164;
040213;0400;78,3333;
040213;0500;80,8333;
040213;0600;80;
040213;0700;64,4164;
040213;0800;56,5;
040213;0900;51,5;
040213;1000;44,5833;
040213;1100;41;
040213;1200;37,5;
040213;1300;36,25;
040213;1400;33,8333;
040213;1500;33,0833;
040213;1600;33,5833;
040213;1700;36;
040213;1800;40,8333;
040213;1900;45,75;
040213;2000;53;
040213;2100;55,0833;
040213;2200;56,25;
040213;2300;57,3333;
040214;0000;62,5833;
040214;0100;67;
040214;0200;71,5833;
040214;0300;75,5;
040214;0400;78,1664;
040214;0500;77,75;
040214;0600;76,9164;
040214;0700;68,3333;
040214;0800;57,1666;
040214;0900;50,0833;
040214;1000;41,25;
040214;1100;39;
040214;1200;37;
040214;1300;33;
040214;1400;30,4167;
040214;1500;28,8333;
040214;1600;27,0833;
040214;1700;28,5;
040214;1800;37,0833;
040214;1900;42,75;
040214;2000;46,4166;
040214;2100;45,5833;
040214;2200;49,9166;
040214;2300;55;
040215;0000;60,8333;
040215;0100;65,3333;
040215;0200;69,75;
040215;0300;73,75;
040215;0400;76,0833;
040215;0500;77,75;
040215;0600;79,5;
040215;0700;60,75;
040215;0800;54,6666;
040215;0900;46,5833;
040215;1000;41,5833;
040215;1100;40,1666;
040215;1200;40,1666;
040215;1300;40,9166;
040215;1400;42,1666;
040215;1500;43,3333;
040215;1600;44,8333;
040215;1700;49,5;
040215;1800;54,75;
040215;1900;62,5;
040215;2000;64,6664;
